station,date_ym,total_rainfall,no_of_rainy_days
Sentosa Island,2013-01-01,226.8,19
Sentosa Island,2013-02-01,361.6,20
Sentosa Island,2013-03-01,61.199999999999996,10
Sentosa Island,2013-04-01,280.2,19
Sentosa Island,2013-05-01,108.0,14
Sentosa Island,2013-06-01,128.4,15
Sentosa Island,2013-07-01,169.2,15
Sentosa Island,2013-08-01,120.2,16
Sentosa Island,2013-09-01,305.0,15
Sentosa Island,2013-10-01,287.8,19
Sentosa Island,2013-11-01,417.4,26
Sentosa Island,2013-12-01,208.6,20
Sentosa Island,2014-01-01,84.8,6
Sentosa Island,2014-02-01,0.6,1
Sentosa Island,2014-03-01,114.2,5
Sentosa Island,2014-04-01,214.2,13
Sentosa Island,2014-05-01,132.8,12
Sentosa Island,2014-06-01,119.4,17
Sentosa Island,2014-07-01,191.4,15
Sentosa Island,2014-08-01,162.0,17
Sentosa Island,2014-09-01,147.79999999999998,9
Sentosa Island,2014-10-01,50.599999999999994,6
Sentosa Island,2014-11-01,313.2,22
Sentosa Island,2014-12-01,587.6,24
Sentosa Island,2015-01-01,67.60000000000001,11
Sentosa Island,2015-02-01,47.0,6
Sentosa Island,2015-03-01,190.39999999999998,11
Sentosa Island,2015-04-01,274.59999999999997,14
Sentosa Island,2015-05-01,157.4,10
Sentosa Island,2015-06-01,80.0,8
Sentosa Island,2015-07-01,77.4,13
Sentosa Island,2015-08-01,146.2,14
Sentosa Island,2015-09-01,46.4,7
Sentosa Island,2015-10-01,56.8,9
Sentosa Island,2015-11-01,40.6,1
Sentosa Island,2015-12-01,391.8,20
Sentosa Island,2016-01-01,180.0,15
Sentosa Island,2016-02-01,94.6,1
Sentosa Island,2016-03-01,69.8,7
Sentosa Island,2016-04-01,110.8,12
Sentosa Island,2016-05-01,173.4,13
Sentosa Island,2016-06-01,253.0,17
Sentosa Island,2016-07-01,220.0,16
Sentosa Island,2016-08-01,111.6,9
Sentosa Island,2016-09-01,187.2,17
Sentosa Island,2016-10-01,196.0,19
Sentosa Island,2016-11-01,202.8,18
Sentosa Island,2017-01-01,96.4,8
Sentosa Island,2017-02-01,26.6,3
Sentosa Island,2017-03-01,0.0,0
Sentosa Island,2017-04-01,303.2,15
Sentosa Island,2017-05-01,274.40000000000003,16
Sentosa Island,2017-06-01,122.2,9
Sentosa Island,2017-07-01,131.79999999999998,9
Sentosa Island,2017-08-01,165.8,19
Sentosa Island,2017-09-01,188.20000000000002,17
Sentosa Island,2017-10-01,108.8,15
Sentosa Island,2017-11-01,296.8,22
Sentosa Island,2017-12-01,146.0,15
Sentosa Island,2018-01-01,218.2,20
Sentosa Island,2018-02-01,34.8,6
Sentosa Island,2018-03-01,89.19999999999999,13
Sentosa Island,2018-04-01,171.8,14
Sentosa Island,2018-05-01,118.0,20
Sentosa Island,2018-06-01,157.6,13
Sentosa Island,2018-07-01,60.199999999999996,13
Sentosa Island,2018-08-01,114.0,10
Sentosa Island,2018-09-01,168.99999999999997,13
Sentosa Island,2018-10-01,298.0,15
Sentosa Island,2018-11-01,333.4,25
Sentosa Island,2018-12-01,181.0,19
Sentosa Island,2019-01-01,120.8,14
Sentosa Island,2019-02-01,57.8,5
Sentosa Island,2019-03-01,39.0,7
Sentosa Island,2019-04-01,223.8,14
Sentosa Island,2019-05-01,163.0,14
Sentosa Island,2019-06-01,160.20000000000002,14
Sentosa Island,2019-07-01,99.0,7
Sentosa Island,2019-08-01,23.6,8
Sentosa Island,2019-09-01,117.60000000000001,6
Sentosa Island,2019-10-01,108.80000000000001,14
Sentosa Island,2019-11-01,75.2,9
Sentosa Island,2019-12-01,127.0,8
Sentosa Island,2020-01-01,191.4,11
Sentosa Island,2020-02-01,60.0,9
Sentosa Island,2020-03-01,69.4,10
Sentosa Island,2020-04-01,164.6,6
Sentosa Island,2020-05-01,0.0,0
Sentosa Island,2020-06-01,270.6,11
Sentosa Island,2020-07-01,198.29999999999998,18
Sentosa Island,2020-08-01,124.5,17
Sentosa Island,2020-09-01,302.8,21
Sentosa Island,2020-10-01,189.60000000000002,19
Sentosa Island,2020-11-01,214.2,19
Sentosa Island,2020-12-01,312.0,22
Sentosa Island,2021-01-01,216.6,8
Sentosa Island,2021-02-01,99.0,7
Sentosa Island,2021-03-01,245.2,15
Sentosa Island,2021-04-01,295.0,14
Sentosa Island,2021-05-01,196.6,16
Sentosa Island,2021-06-01,134.8,16
Sentosa Island,2021-07-01,196.20000000000002,15
Sentosa Island,2021-08-01,404.0,21
Sentosa Island,2021-09-01,216.60000000000002,20
Sentosa Island,2021-10-01,188.6,11
Sentosa Island,2021-11-01,249.4,19
Sentosa Island,2021-12-01,245.6,18
Sentosa Island,2022-01-01,139.5,13
Sentosa Island,2022-02-01,215.8,14
Sentosa Island,2022-03-01,292.2,15
Sentosa Island,2022-04-01,358.0,21
Sentosa Island,2022-05-01,155.2,10
Sentosa Island,2022-06-01,308.2,22
Sentosa Island,2022-07-01,83.8,12
Sentosa Island,2022-08-01,175.4,18
Sentosa Island,2022-09-01,145.2,12
Sentosa Island,2022-10-01,418.0,27
Sentosa Island,2022-11-01,163.8,27
Tuas South,2012-01-01,171.20000000000002,11
Tuas South,2012-02-01,190.4,20
Tuas South,2012-03-01,277.2,15
Tuas South,2012-04-01,165.8,18
Tuas South,2012-05-01,317.8,21
Tuas South,2012-06-01,203.4,5
Tuas South,2012-07-01,148.0,13
Tuas South,2012-08-01,162.6,10
Tuas South,2012-09-01,77.2,11
Tuas South,2012-10-01,137.4,16
Tuas South,2012-11-01,359.0,18
Tuas South,2012-12-01,363.0,23
Tuas South,2013-01-01,206.0,16
Tuas South,2013-02-01,424.2,21
Tuas South,2013-03-01,83.6,13
Tuas South,2013-04-01,271.0,19
Tuas South,2013-05-01,75.39999999999999,13
Tuas South,2013-06-01,80.2,11
Tuas South,2013-07-01,44.6,11
Tuas South,2013-08-01,132.6,15
Tuas South,2013-09-01,256.59999999999997,17
Tuas South,2013-10-01,250.8,20
Tuas South,2013-11-01,349.6,22
Tuas South,2013-12-01,231.4,20
Tuas South,2014-01-01,109.2,7
Tuas South,2014-02-01,56.4,4
Tuas South,2014-03-01,142.6,8
Tuas South,2014-04-01,96.4,16
Tuas South,2014-05-01,195.0,19
Tuas South,2014-06-01,185.8,16
Tuas South,2014-07-01,140.4,12
Tuas South,2014-08-01,130.0,17
Tuas South,2014-09-01,80.8,9
Tuas South,2014-10-01,107.0,11
Tuas South,2014-11-01,223.6,21
Tuas South,2014-12-01,284.6,20
Tuas South,2015-01-01,76.6,12
Tuas South,2015-02-01,87.0,8
